user_id,age,monthly_spend,plan_tier,is_active,email,first_name,last_name,gender,country,state_province,city,primary_device,subscription_start_date,created_at
user_00009,24.0,12.21,3,0,donnaarroyo@example.org,Allison,Brandt,Male,USA,North Carolina,Raymondstad,Gaming Console,2025-04-13,2022-12-13 15:46:23.391721
user_00034,32.0,13.48,2,0,hoganashlee@example.org,Amanda,Jones,,USA,Massachusetts,Port Robertfort,Gaming Console,2023-11-20,2024-06-29 11:51:05.196326
user_00060,22.0,19.03,3,0,rgilbert@example.org,Jeff,Sampson,Male,USA,Tennessee,Lake Michaelstad,Mobile,2023-10-12,2025-06-28 22:53:58.331928
user_00081,56.0,20.41,3,1,lisasolis@example.org,Brett,Sawyer,Other,USA,Georgia,West Christopherburgh,Mobile,2023-12-07,2025-01-29 15:57:37.711195
user_00083,33.0,9.39,1,1,mitchellmaria@example.net,Katherine,West,Female,USA,Massachusetts,North Jonathanberg,Smart TV,2022-12-01,2023-04-20 10:59:01.685264
user_00102,45.0,13.48,3,1,cporter@example.org,Jennifer,Stone,Female,USA,Missouri,West Sarah,Smart TV,2023-01-27,2024-05-14 15:02:08.643314
user_00115,30.0,19.82,1,0,jelliott@example.com,Jennifer,Scott,Male,Canada,British Columbia,New Charles,Desktop,2023-08-14,2024-03-18 00:49:13.493253
user_00115,30.0,19.82,1,0,jelliott@example.com,Jennifer,Scott,Male,Canada,British Columbia,New Charles,Desktop,2023-08-14,2024-03-18 00:49:13.493253
user_00126,6.0,10.26,3,1,combscharles@example.net,Kathy,Taylor,Other,Canada,Saskatchewan,Lake Edwardborough,Laptop,2023-09-15,2024-07-25 11:04:37.787323
user_00126,6.0,10.26,3,1,combscharles@example.net,Kathy,Taylor,Other,Canada,Saskatchewan,Lake Edwardborough,Laptop,2023-09-15,2024-07-25 11:04:37.787323
user_00159,28.0,13.48,1,1,amandamyers@example.net,Kyle,Blair,Female,USA,Illinois,East Christopherchester,Desktop,2023-12-11,2023-07-07 23:10:46.679240
user_00170,23.0,18.12,3,0,samantha10@example.org,Rachel,Lamb,Male,USA,Texas,Davidmouth,Tablet,2023-02-02,2025-01-19 09:46:59.873625
user_00176,40.0,30.07,2,1,johnsonbrenda@example.org,Meghan,Yu,Female,Canada,New Brunswick,Willismouth,Smart TV,2023-07-21,2024-10-13 12:33:30.576172
user_00191,42.0,17.15,2,0,allentracy@example.com,Susan,Matthews,Female,USA,New York,Frankview,Desktop,2023-06-10,2022-09-26 11:22:46.553144
user_00195,23.0,43.11,3,0,ldoyle@example.net,Matthew,Parks,Female,USA,Massachusetts,Williamburgh,Gaming Console,2023-06-19,2022-12-21 06:16:30.317406
user_00200,36.0,4.73,2,0,heathercooper@example.org,Patrick,Jackson,Male,USA,New Jersey,Stacymouth,Tablet,2023-11-20,2023-08-13 14:38:01.180944
user_00212,21.0,10.87,3,0,jennifer11@example.net,Aaron,Gallegos,Male,Canada,Prince Edward Island,Jacquelineton,Mobile,2024-01-23,2022-11-28 06:29:19.975526
user_00218,33.0,16.68,1,0,karenjohnson@example.com,Christina,Newton,,USA,Arizona,New Kristen,Gaming Console,2024-08-30,2025-05-14 05:43:21.782189
user_00232,13.0,21.77,3,0,michaelwalker@example.net,Dennis,Sanders,Male,USA,Tennessee,Port Tamara,Gaming Console,2024-11-08,2023-12-05 00:04:34.232091
user_00232,13.0,21.77,3,0,michaelwalker@example.net,Dennis,Sanders,Male,USA,Tennessee,Port Tamara,Gaming Console,2024-11-08,2023-12-05 00:04:34.232091
user_00238,27.0,1.94,2,0,gary57@example.net,Jerry,Anderson,Other,USA,Virginia,New Michele,Laptop,2025-01-23,2023-02-13 11:24:47.093136
user_00244,40.0,9.34,1,0,mgonzales@example.net,James,Gilbert,Female,USA,Indiana,Johntown,Desktop,2022-11-05,2024-12-04 08:58:05.624656
user_00247,21.0,16.27,2,1,bmosley@example.com,Jonathan,Schultz,Female,USA,Pennsylvania,Port Leslie,Desktop,2024-02-19,2024-09-08 23:18:50.118067
user_00262,27.0,22.5,1,0,justin84@example.com,Melissa,Taylor,Female,USA,Virginia,Williamsonview,Mobile,2023-02-23,2023-01-16 18:48:18.362517
user_00269,21.0,28.47,3,0,llopez@example.net,Mario,Hill,Female,Canada,Prince Edward Island,New Ericport,Tablet,2024-03-17,2022-08-03 20:37:18.335049
user_00270,32.0,15.42,1,0,nicoleharvey@example.com,Malik,Barrett,Male,USA,Massachusetts,New Felicia,Mobile,2024-06-03,2023-10-26 02:26:11.882976
user_00320,7.0,5.13,2,0,sotobelinda@example.net,Diana,Lamb,Male,Canada,Nova Scotia,Toddberg,Gaming Console,2025-02-20,2023-05-06 05:56:50.178965
user_00321,47.0,25.25,1,0,michaela01@example.net,Renee,Hopkins,Female,USA,Washington,West Kimberly,Tablet,2024-01-15,2023-08-13 17:39:43.031349
user_00328,50.0,9.15,2,0,scottvasquez@example.org,Gregory,Rodriguez,Other,USA,Arizona,New Dawn,Laptop,2024-09-24,2022-09-10 06:26:20.145430
